replicate,code,sample,experiment date,HEPES,lactate,pyruvate,phenylalanine,tyrosine,proline,threonine,alanine,glutamate,glutamine,glucose,aspartate,serine,asparagine,glycine,malate,aKG,fumarate,leucine+isoleucine,valine,methionine,tryptophan,succinate,lysine,histidine,arginine
4,280716_262_6,UOK262,28.07.16,24243454.64,1488749807,60517589.49,2176019088,1443396043,673474854.2,1667056882,191248642.5,412077141.2,196502004.3,16474803.64,382584.2483,94783026.19,788749.8537,68656880.99,5563608.056,6881465.694,3178259.237,3909218033,2471659031,957890509.7,315436905,16102756.08,410307373.1,20845725.6,955438875.1
4,280716_pFH_1,UOK262pFH,28.07.16,23377821.75,1524208388,56010433.99,1969983472,1414106309,588941437.9,1652578928,242623769.2,330374358.8,194262019.9,15812732.48,2470818.026,90318848.82,5309572.686,63988259.62,8406465.004,6096704.885,104854.2572,4886582950,2384970853,892189656.1,287084517,13786223.79,393820735.7,16285419.2,913562003.8
4,280716_pFH_2,UOK262pFH,28.07.16,24447304.38,1334762808,51438117.57,1754633495,1290848353,541057957.8,1613877171,228537057.6,304075395.2,177405426.4,16458283.86,2250911.237,82604167.03,3930996.944,60207944.54,11040291.83,3580312.24,0,4940231489,2339407119,846986666,267677262.4,11612775.13,358510078.4,16267535.67,821801256.8
4,280716_pFH_3,UOK262pFH,28.07.16,24001284.39,1449870701,56871249.83,1940803863,1318142589,520977522.9,1579117346,214641088,298733797,198844347.2,16610806.72,2302859.602,84109485.08,4523257.873,59746677.97,12164783.49,5255001.956,0,4935729146,2283968624,877031395.8,277998424.9,12362554.14,429360946.1,20816213.05,909796279.8
4,280716_pFH_4,UOK262pFH,28.07.16,22858998.75,1608819553,57751163.32,1954612545,1352392365,565307169.6,1606605578,241636080.7,322609544.3,206408174.1,16499534.47,2261942.158,87430585.55,4803400.479,62931182.37,9956162.796,5639573.084,0,5255368378,2289884326,877275885,291353899.2,13043287.12,426687092.3,19526764.34,995499434.7
4,280716_pFH_5,UOK262pFH,28.07.16,22949843.24,1450477180,56322938.75,1774255019,1265695490,527114136.5,1540727815,240113482.5,308015184.7,187186601.8,15084054.09,2833336.904,85690212.58,4622321.856,62713021.13,9675661.986,5407614.587,0,4561929255,2155486585,833800210.1,264386545.3,12833060.9,380030614.9,17651099.59,870297277.8
4,280716_pFH_6,UOK262pFH,28.07.16,23939798.32,1559738176,59498789.67,2010848006,1356883251,581102574.5,1660019587,237800392.1,329874174.4,189326021.7,15746528.99,3075291.345,90914016.25,4430251.501,66600242.58,10942031.63,5624883.256,0,5678757891,2464795222,915281424.9,296482626.4,13603030.07,402777458.4,20361782.86,911794145.5
4,280716_M_1,control,28.07.16,24020379.49,227053454.8,137664776.1,2112087687,1513479224,372659420.4,1748658219,93669553.59,62193994.73,262979160.9,16341496.81,1600897.174,108473027,0,62113626.6,4997840.46,726141.0785,0,5784880566,2634279375,1016267601,328054120.2,13114267.57,449354656.3,22126473.97,1023046668
4,280716_M_2,control,28.07.16,23639521.1,241630164,142304022.1,2251063311,1447852269,374190468.4,1762393675,105510372.1,61220893.47,274186675.8,15292293.62,1565021.904,113480578.6,0,62767565.81,6135835.105,603944.6959,0,5606658632,2516025674,1027708167,330478674.2,14179447.09,432369465.2,24380516.07,1044582331
4,280716_M_3,control,28.07.16,22568109.67,232590954.9,135257409,2014570552,1468670100,363216699.5,1752068149,92404601.99,64445910.04,270427199.9,15496073.62,667188.5574,108231844.6,0,60787863.57,4737991.749,777906.3048,0,4908415084,2436856795,958913736.9,305572493.1,14375020.37,446620175.2,21410966.9,1052937095
4,280716_M_4,control,28.07.16,23736302.6,224124088.6,132389305.3,2056844984,1414189786,358555792.3,1756887440,89370524.17,61660096.59,263803908.2,15541051.02,785686.833,108056211.6,0,60320605.63,6243081.607,1033988.218,0,5423169746,2548309734,1030011310,326863563.3,14010868.12,433405476.5,22425811.41,993368012.2
4,280716_M_5,control,28.07.16,23134065.16,235868875.1,145710208.2,2135154643,1513392009,371884335.3,1866445912,99184750.53,63333461.88,261498720.1,16841477.06,1248123.606,110665749.7,0,60687031.92,4475893.303,782617.797,0,5327645919,2561800232,1023665294,344460699.4,13311419.7,443194250.6,23692600.64,990172204.8
4,280716_M_6,control,28.07.16,23000862.9,234628117.8,134309702.5,2123602739,1430781771,355788155,1723830939,93598637.39,64478019.96,268805911.3,17393588.84,1115654.857,106975007.9,0,59662919.64,5518763.698,730114.5566,0,5603597713,2470370582,1001059060,323013201.1,13464260.65,451691333.1,22777021.8,1035929210
